,matchid,teamid,firstblood,firsttower,firstinhib,firstbaron,firstdragon,firstharry,towerkills,inhibkills,baronkills,dragonkills,harrykills
267388,137192,100,1,0,1,1,1,0,10,2,1,3,0
267389,137192,200,0,1,0,0,0,0,2,0,0,0,0
267390,137193,100,1,1,0,1,1,0,7,0,1,2,0
267391,137193,200,0,0,0,0,0,0,0,0,0,0,0
267392,137194,100,1,1,1,0,1,0,8,2,0,2,0
267393,137194,200,0,0,0,0,0,1,3,0,0,2,1
267394,137195,100,0,1,1,0,1,0,6,1,0,1,0
267395,137195,200,1,0,0,1,0,0,8,1,1,3,0
267396,137196,100,1,0,1,0,1,0,7,2,0,2,0
267397,137196,200,0,1,0,1,0,1,8,1,1,2,1
267398,137197,100,1,1,0,0,0,0,3,0,0,2,0
267399,137197,200,0,0,1,1,1,0,11,3,2,2,0
267400,137198,100,0,0,0,0,1,0,2,0,0,1,0
267401,137198,200,1,1,1,1,0,0,9,2,1,2,0
267402,137199,100,0,0,0,0,1,0,1,0,0,1,0
267403,137199,200,1,1,1,1,0,1,10,2,1,1,1
267404,137200,100,1,0,1,1,0,0,8,2,1,0,0
267405,137200,200,0,1,0,0,1,0,9,1,0,4,0
267406,137201,100,1,1,1,0,0,0,11,5,1,1,0
267407,137201,200,0,0,0,1,1,0,2,0,1,3,0
267408,137202,100,1,1,1,1,1,1,11,3,2,4,1
267409,137202,200,0,0,0,0,0,0,3,0,0,1,0
267410,137203,100,0,0,0,0,0,0,0,0,0,0,0
267411,137203,200,1,1,1,0,1,1,9,1,0,1,1
267412,137204,100,1,1,1,1,0,0,11,3,2,1,0
267413,137204,200,0,0,0,0,1,0,4,0,0,3,0
267414,137205,100,1,1,1,0,1,1,8,2,0,2,1
267415,137205,200,0,0,0,0,0,0,2,0,0,1,0
267416,137206,100,1,1,0,1,1,0,7,0,1,2,0
267417,137206,200,0,0,1,0,0,0,9,1,1,3,0
267418,137207,100,1,1,1,0,1,0,9,2,0,3,0
267419,137207,200,0,0,0,1,0,0,7,1,2,2,0
267420,137208,100,0,1,1,1,0,0,10,2,1,3,0
267421,137208,200,1,0,0,0,1,0,1,0,0,1,0
267422,137209,100,0,0,0,0,0,0,0,0,0,0,0
267423,137209,200,1,1,1,0,1,1,10,2,0,3,1
267424,137210,100,0,0,0,0,0,0,1,0,0,0,0
267425,137210,200,1,1,1,1,1,0,10,3,2,4,0
267426,137211,100,0,0,0,0,0,0,1,0,0,0,0
267427,137211,200,1,1,1,1,1,0,8,1,1,2,0
267428,137212,100,1,1,1,1,0,0,8,1,1,0,0
267429,137212,200,0,0,0,0,1,0,3,0,0,2,0
267430,137213,100,0,0,0,0,0,1,0,0,0,1,1
267431,137213,200,1,1,1,0,1,0,11,4,0,2,0
267432,137214,100,1,0,1,1,0,0,8,1,2,3,0
267433,137214,200,0,1,0,0,1,0,5,0,0,1,0
267434,137215,100,1,0,1,0,0,0,9,2,0,2,0
267435,137215,200,0,1,0,0,1,0,4,0,0,1,0
267436,137216,100,0,0,0,0,0,0,6,1,0,0,0
267437,137216,200,1,1,1,1,1,0,9,3,2,4,0
267438,137217,100,0,1,1,1,1,0,10,2,1,2,0
267439,137217,200,1,0,0,0,0,0,1,0,0,1,0
267440,137218,100,1,0,0,0,0,0,0,0,0,0,0
267441,137218,200,0,1,1,1,1,0,11,3,1,2,0
267442,137219,100,1,1,1,0,0,0,6,1,0,0,0
267443,137219,200,0,0,0,1,1,0,11,2,1,3,0
267444,137220,100,0,0,1,1,0,0,6,2,1,1,0
267445,137220,200,1,1,0,0,1,0,11,4,1,4,0
267446,137221,100,1,1,0,0,1,0,5,0,0,1,0
267447,137221,200,0,0,0,0,0,0,0,0,0,0,0
267448,137222,100,1,1,1,0,1,0,9,1,0,2,0
267449,137222,200,0,0,0,0,0,0,1,0,0,0,0
267450,137223,100,1,1,0,0,0,0,3,0,0,0,0
267451,137223,200,0,0,1,1,1,1,11,4,1,4,1
267452,137224,100,0,0,0,0,0,0,9,1,1,2,0
267453,137224,200,1,1,1,1,1,0,8,1,1,3,0
267454,137225,100,0,0,0,0,0,0,1,0,0,0,0
267455,137225,200,1,1,1,1,1,0,11,5,1,3,0
267456,137226,100,0,1,1,1,1,0,11,6,1,4,0
267457,137226,200,1,0,0,0,0,0,2,0,0,0,0
267458,137227,100,0,1,0,0,1,0,3,0,0,1,0
267459,137227,200,1,0,1,1,0,0,11,3,2,3,0
267460,137228,100,0,0,1,1,1,0,9,2,1,1,0
267461,137228,200,1,1,0,0,0,0,6,1,0,1,0
267462,137229,100,0,0,0,1,0,0,8,1,1,1,0
267463,137229,200,1,1,1,0,1,0,8,3,0,4,0
267464,137230,100,1,0,0,0,0,0,2,0,0,0,0
267465,137230,200,0,1,1,0,1,0,11,1,0,2,0
267466,137231,100,0,1,0,0,1,1,4,0,0,2,1
267467,137231,200,1,0,0,0,0,0,0,0,0,0,0
267468,137232,100,1,0,0,0,1,0,1,0,0,1,0
267469,137232,200,0,1,1,1,0,1,9,2,1,2,1
267470,137233,100,0,0,1,0,0,0,7,1,0,1,0
267471,137233,200,1,1,0,1,1,0,4,0,1,3,0
267472,137234,100,1,1,1,1,0,0,10,2,1,2,0
267473,137234,200,0,0,0,0,1,0,3,0,0,1,0
267474,137235,100,0,0,0,0,0,0,2,0,0,0,0
