,id,gameid,platformid,queueid,seasonid,duration,creation,version
135884,139387,2362373793,NA1,440,8,1993,1480730708346,6.23.166.2676
135885,139388,2362119856,NA1,440,8,2220,1480699046978,6.23.166.2676
135886,139389,2361558983,NA1,440,8,1517,1480629675822,6.23.166.2676
135887,139390,2361575492,NA1,440,8,1221,1480627757531,6.23.166.2676
135888,139391,2361553735,NA1,440,8,1364,1480625159137,6.23.166.2676
135889,139392,2361474653,NA1,440,8,2512,1480613711118,6.23.166.2676
135890,139393,2359277718,NA1,440,8,1434,1480378843290,6.23.166.2676
135891,139394,2357399839,NA1,9,8,1777,1480187015358,6.23.166.2676
135892,139395,2354594016,NA1,440,8,1632,1479924555304,6.23.166.2676
135893,139396,2354222812,NA1,440,8,2278,1479864130430,6.23.166.2676
135894,139397,2354156923,NA1,440,8,2055,1479861478838,6.23.166.2676
135895,139398,2354172755,NA1,440,8,1295,1479859636616,6.23.166.2676
135896,139399,2354118994,NA1,440,8,1340,1479857708527,6.23.166.2676
135897,139400,2354059297,NA1,420,8,2082,1479852363231,6.23.166.2676
135898,139401,2353819712,NA1,440,8,1654,1479837893721,6.23.166.2676
135899,139402,2353112317,NA1,440,8,1991,1479762440822,6.22.165.9605
135900,139403,2353038602,NA1,440,8,1668,1479760051978,6.22.165.9605
135901,139404,2353024753,NA1,440,8,2057,1479757189809,6.22.165.9605
135902,139405,2352991867,NA1,420,8,2078,1479754066334,6.22.165.9605
135903,139406,2352826005,NA1,440,8,1499,1479748493852,6.22.165.9605
135904,139407,2352408615,NA1,440,8,1781,1479698202941,6.22.165.9605
135905,139408,2352392664,NA1,440,8,1580,1479695577910,6.22.165.9605
135906,139409,2351997692,NA1,440,8,1624,1479666480224,6.22.165.9605
135907,139410,2351994013,NA1,440,8,1373,1479664051769,6.22.165.9605
135908,139411,2351331346,NA1,440,8,1800,1479603561736,6.22.165.9605
135909,139412,2350840930,NA1,440,8,2020,1479571441936,6.22.165.9605
135910,139413,2350473727,NA1,440,8,1392,1479524924375,6.22.165.9605
135911,139414,2350360041,NA1,440,8,1998,1479515125903,6.22.165.9605
135912,139415,2350303844,NA1,440,8,2062,1479511912423,6.22.165.9605
135913,139416,2345496331,NA1,440,8,2103,1479053435863,6.22.165.3566
135914,139417,2345183774,NA1,440,8,1251,1479010361891,6.22.165.3566
135915,139418,2345036257,NA1,440,8,1351,1479002702726,6.22.165.3566
135916,139419,2344853491,NA1,440,8,1507,1478986572432,6.22.165.3566
135917,139420,2344721455,NA1,440,8,2751,1478974527698,6.22.165.3566
135918,139421,2344658522,NA1,440,8,1471,1478972488954,6.22.165.3566
135919,139422,2344568320,NA1,440,8,2362,1478962123738,6.22.165.3566
135920,139423,2343674995,NA1,440,8,1464,1478897360799,6.22.165.3566
135921,139424,2343680869,NA1,440,8,1655,1478894773352,6.22.165.3566
135922,139425,2343627943,NA1,440,8,1360,1478892932355,6.22.165.3566
135923,139426,2343541704,NA1,440,8,1459,1478877450124,6.22.165.3566
138220,141732,2489622933,NA1,420,8,2226,1493696400751,7.8.184.113
138221,141733,2488584307,NA1,420,8,1699,1493594229727,7.8.184.113
138222,141734,2487990774,NA1,420,8,1788,1493519342237,7.8.184.113
138223,141735,2487952852,NA1,420,8,2387,1493515878928,7.8.184.113
138224,141736,2487888634,NA1,420,8,1548,1493513950217,7.8.184.113
138225,141737,2486962334,NA1,420,8,2230,1493430914478,7.8.184.113
138226,141738,2486918334,NA1,420,8,1237,1493429179268,7.8.184.113
138227,141739,2485556171,NA1,420,8,2248,1493258084977,7.8.184.113
138228,141740,2485519362,NA1,420,8,2299,1493255284143,7.8.184.113
138229,141741,2479320144,NA1,420,8,1911,1492653237532,7.8.184.113
138230,141742,2479244228,NA1,420,8,1850,1492650668633,7.8.184.113
138231,141743,2479199151,NA1,420,8,1052,1492648465716,7.8.184.113
138232,141744,2477595992,NA1,420,8,1619,1492483664390,7.7.183.8394
138233,141745,2477538138,NA1,420,8,2583,1492480227221,7.7.183.8394
138234,141746,2477015757,NA1,420,8,2858,1492399508823,7.7.183.8394
138235,141747,2477011036,NA1,420,8,1484,1492397534158,7.7.183.8394
138236,141748,2476936312,NA1,420,8,1666,1492395281673,7.7.183.8394
138237,141749,2476949894,NA1,420,8,2009,1492392843626,7.7.183.8394
138238,141750,2473577127,NA1,420,8,2057,1492051454530,7.7.182.1428
138239,141751,2473499598,NA1,420,8,2257,1492047737327,7.7.182.1428
